cohort_key,date,site,partner,ip,user_agent,ua_full,ua_full_mode_share,ua_full_ip_diversity,ua_full_ip_diversity_ratio,rule_score,iso_score,botness,risk_band,n_events,night_share,top_signature_share,repeat_ratio,gap_p50,max_run_lt_1s,cookie_rate,referrer_rate,http11_share,http2_share,ladder_sweep,hourly_entropy
2025-09-09|booking_co|booking|8.243.163.246|Chrome,2025-09-09,booking_co,booking,8.243.163.246,Chrome,Chrome.86/PC/Mac OS/Web Browser,0.3612167300380228,17,0.2236842105263158,0.5847031709989969,1.0,0.7923515854994985,High,263,1.0,0.0,0.0,1.0,5,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-09|booking_co|booking|201.184.74.106|Chrome,2025-09-09,booking_co,booking,201.184.74.106,Chrome,Chrome.86/PC/Linux/Web Browser,0.3156498673740053,20,0.2631578947368421,0.5958885786160141,0.9648375207074564,0.7803630496617353,High,377,1.0,0.0,0.0,1.0,6,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-09|booking_co|booking|45.169.98.83|Chrome,2025-09-09,booking_co,booking,45.169.98.83,Chrome,Chrome.86/PC/Linux/Web Browser,0.2875,20,0.2631578947368421,0.6008231055679689,0.9587202633324993,0.779771684450234,High,240,1.0,0.0,0.0,1.0,7,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-09|booking_co|booking|190.85.174.10|Chrome,2025-09-09,booking_co,booking,190.85.174.10,Chrome,Chrome.86/PC/Mac OS/Web Browser,0.38016528925619836,17,0.2236842105263158,0.5861835886217855,0.9692426685049655,0.7777131285633756,High,242,1.0,0.0,0.0,1.0,5,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-09|booking_co|booking|186.148.180.112|Chrome,2025-09-09,booking_co,booking,186.148.180.112,Chrome,Chrome.84/PC/Mac OS/Web Browser,0.407514450867052,14,0.18421052631578946,0.6067524530448499,0.9361118527251672,0.7714321528850085,High,346,1.0,0.0,0.0,1.0,7,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-09|booking_co|booking|191.156.34.30|Chrome,2025-09-09,booking_co,booking,191.156.34.30,Chrome,Chrome.85/PC/Windows/Web Browser,1.0,18,0.23684210526315788,0.5805734874750976,0.9597937025419158,0.7701835950085067,High,20,1.0,0.0,0.0,5.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-09|booking_co|booking|191.156.36.109|Chrome,2025-09-09,booking_co,booking,191.156.36.109,Chrome,Chrome.84/PC/Windows/Web Browser,0.8095238095238095,13,0.17105263157894737,0.5718636427822417,0.9645916217176702,0.7682276322499559,High,42,1.0,0.0,0.0,3.0,1,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-09|booking_co|booking|191.156.33.67|Chrome,2025-09-09,booking_co,booking,191.156.33.67,Chrome,Chrome.86/PC/Linux/Web Browser,0.7407407407407407,20,0.2631578947368421,0.5654265275674187,0.9146588076868818,0.7400426676271503,Medium,54,1.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-09|booking_co|booking|181.50.102.4|Chrome,2025-09-09,booking_co,booking,181.50.102.4,Chrome,Chrome.85/PC/Mac OS/Web Browser,0.2894736842105263,18,0.23684210526315788,0.6123575174950291,0.867578106155375,0.739967811825202,Medium,532,1.0,0.0,0.0,1.0,8,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-09|booking_co|booking|191.156.38.37|Chrome,2025-09-09,booking_co,booking,191.156.38.37,Chrome,Chrome.83/PC/Windows/Web Browser,0.8369565217391305,10,0.13157894736842105,0.5828498758033529,0.8943213088836038,0.7385855923434783,Medium,92,1.0,0.0,0.0,4.0,2,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-09|booking_co|booking|190.27.129.126|Chrome,2025-09-09,booking_co,booking,190.27.129.126,Chrome,Chrome.80/PC/Linux/Web Browser,1.0,11,0.14473684210526316,0.5640955612374826,0.9117426252555659,0.7379190932465243,Medium,21,1.0,0.0,0.0,9.5,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-09|booking_co|booking|191.156.43.125|Chrome,2025-09-09,booking_co,booking,191.156.43.125,Chrome,Chrome.85/PC/Windows/Web Browser,0.8823529411764706,18,0.23684210526315788,0.5805380281936084,0.8804344462614103,0.7304862372275094,Medium,17,1.0,0.0,0.0,3.5,1,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
