cohort_key,date,site,partner,ip,user_agent,rule_score,iso_score,botness,risk_band,n_events,night_share,top_signature_share,repeat_ratio,gap_p50,max_run_lt_1s,cookie_rate,referrer_rate,http11_share,http2_share,ladder_sweep,hourly_entropy
2025-09-06|booking_br|booking|190.115.65.140|Chrome,2025-09-06,booking_br,booking,190.115.65.140,Chrome,0.43812546210630504,0.9987510507198885,0.7184382564130968,Medium,5,1.0,0.0,0.0,12.5,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-06|booking_fr|booking|37.165.22.192|Safari,2025-09-06,booking_fr,booking,37.165.22.192,Safari,0.4322921287729718,0.9945443257921628,0.7134182272825673,Medium,5,1.0,0.0,0.0,16.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-06|booking_de|booking|212.51.10.110|Safari,2025-09-06,booking_de,booking,212.51.10.110,Safari,0.4256254621063051,1.0,0.7128127310531526,Medium,5,1.0,0.0,0.0,20.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-06|booking_nl|booking|77.167.160.110|Chrome,2025-09-06,booking_nl,booking,77.167.160.110,Chrome,0.42979212877297174,0.9941650529998118,0.7119785908863918,Medium,5,1.0,0.0,0.0,17.5,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-06|booking_se|booking|90.238.43.18|Safari,2025-09-06,booking_se,booking,90.238.43.18,Safari,0.4389587954396384,0.9593646743926192,0.6991617349161288,Medium,5,1.0,0.0,0.0,12.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-06|booking_us|booking|157.191.45.86|Safari,2025-09-06,booking_us,booking,157.191.45.86,Safari,0.4422921287729718,0.9542069553997176,0.6982495420863447,Medium,5,1.0,0.0,0.0,10.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-06|booking_de|booking|2.241.249.182|Android WebKit Browser,2025-09-06,booking_de,booking,2.241.249.182,Android WebKit Browser,0.41395879543963837,0.9645499058002838,0.6892543506199611,Medium,5,1.0,0.0,0.0,27.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-06|booking_de|booking|178.202.190.183|Safari,2025-09-06,booking_de,booking,178.202.190.183,Safari,0.41395879543963837,0.9601284842358776,0.687043639837758,Medium,5,1.0,0.0,0.0,27.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-06|booking_de|booking|87.78.237.177|Safari,2025-09-06,booking_de,booking,87.78.237.177,Safari,0.41972954883877467,0.9427240231371249,0.6812267859879497,Medium,6,1.0,0.0,0.0,24.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-06|booking_mt|booking|77.71.138.69|Safari,2025-09-06,booking_mt,booking,77.71.138.69,Safari,0.4406254621063051,0.9039846824802981,0.6723050722933016,Medium,5,1.0,0.0,0.0,11.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-06|booking_nl|booking|80.60.218.118|Safari,2025-09-06,booking_nl,booking,80.60.218.118,Safari,0.4430628821721081,0.8876118141633407,0.6653373481677244,Medium,6,1.0,0.0,0.0,10.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-06|booking_de|booking|109.41.115.180|Safari,2025-09-06,booking_de,booking,109.41.115.180,Safari,0.42812546210630503,0.8843693128464131,0.656247387476359,Medium,5,1.0,0.0,0.0,18.5,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
